Gemeente Origineel;Postcode;Fusiegemeente;Stedelijkheid fusiegemeenten;Gemeente cluster;Province (English);Country (English);Provincie;Stedelijkheid;;;;;;;;;;;;;;;;;;;;
Kooigem (Kortrijk);8510;Kortrijk;Centrumstad;Kooigem (Kortrijk);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Marke (Kortrijk);8510;Kortrijk;Centrumstad;Marke (Kortrijk);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Rollegem (Kortrijk);8510;Kortrijk;Centrumstad;Rollegem (Kortrijk);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Aalbeke (Kortrijk);8511;Kortrijk;Centrumstad;Aalbeke (Kortrijk);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kraainem;1950;Kraainem;Niet-stedelijk;Kraainem;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bazel (Kruibeke);9150;Kruibeke;Niet-stedelijk;Bazel (Kruibeke);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kruibeke;9150;Kruibeke;Niet-stedelijk;Kruibeke;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Rupelmonde (Kruibeke);9150;Kruibeke;Niet-stedelijk;Rupelmonde (Kruibeke);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kruishoutem;9770;Kruishoutem;Niet-stedelijk;Kruishoutem;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nokere (Kruishoutem);9771;Kruishoutem;Niet-stedelijk;Nokere (Kruishoutem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kuurne;8520;Kuurne;Niet-stedelijk;Kuurne;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Eindhout (Laakdal);2430;Laakdal;Niet-stedelijk;Eindhout (Laakdal);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Laakdal;2430;Laakdal;Niet-stedelijk;Laakdal;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vorst (Laakdal);2430;Laakdal;Niet-stedelijk;Vorst (Laakdal);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Veerle (Laakdal);2431;Laakdal;Niet-stedelijk;Veerle (Laakdal);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kalken (Laarne);9270;Laarne;Niet-stedelijk;Kalken (Laarne);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Laarne;9270;Laarne;Niet-stedelijk;Laarne;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lanaken;3620;Lanaken;Niet-stedelijk;Lanaken;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Neerharen (Lanaken);3620;Lanaken;Niet-stedelijk;Neerharen (Lanaken);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Veldwezelt (Lanaken);3620;Lanaken;Niet-stedelijk;Veldwezelt (Lanaken);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Rekem (Lanaken);3621;Lanaken;Niet-stedelijk;Rekem (Lanaken);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Landen;3400;Landen;Niet-stedelijk;Landen;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Walsbets (Landen);3401;Landen;Niet-stedelijk;Walsbets (Landen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Walshoutem (Landen);3401;Landen;Niet-stedelijk;Walshoutem (Landen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wezeren (Landen);3401;Landen;Niet-stedelijk;Wezeren (Landen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Attenhoven (Landen);3404;Landen;Niet-stedelijk;Attenhoven (Landen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Langemark (Langemark-Poelkapelle);8920;Langemark-Poelkapelle;Niet-stedelijk;Langemark (Langemark-Poelkapelle);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Langemark-Poelkapelle;8920;Langemark-Poelkapelle;Niet-stedelijk;Langemark-Poelkapelle;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Poelkapelle (Langemark-Poelkapelle);8920;Langemark-Poelkapelle;Niet-stedelijk;Poelkapelle (Langemark-Poelkapelle);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bikschote (Langemark-Poelkapelle);8920;Langemark-Poelkapelle;Niet-stedelijk;Bikschote (Langemark-Poelkapelle);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Denderbelle (Lebbeke);9280;Lebbeke;Niet-stedelijk;Denderbelle (Lebbeke);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lebbeke;9280;Lebbeke;Niet-stedelijk;Lebbeke;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wieze (Lebbeke);9280;Lebbeke;Niet-stedelijk;Wieze (Lebbeke);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lede;9340;Lede;Niet-stedelijk;Lede;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oordegem (Lede);9340;Lede;Niet-stedelijk;Oordegem (Lede);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wanzele (Lede);9340;Lede;Niet-stedelijk;Wanzele (Lede);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ledegem;8880;Ledegem;Niet-stedelijk;Ledegem;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Rollegem-Kapelle (Ledegem);8880;Ledegem;Niet-stedelijk;Rollegem-Kapelle (Ledegem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Eloois-Winkel (Ledegem);8880;Ledegem;Niet-stedelijk;Sint-Eloois-Winkel (Ledegem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lendelede;8860;Lendelede;Niet-stedelijk;Lendelede;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lennik;1750;Lennik;Niet-stedelijk;Lennik;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Kwintens-Lennik (Lennik);1750;Lennik;Niet-stedelijk;Sint-Kwintens-Lennik (Lennik);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Martens-Lennik (Lennik);1750;Lennik;Niet-stedelijk;Sint-Martens-Lennik (Lennik);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Leopoldsburg;3970;Leopoldsburg;Niet-stedelijk;Leopoldsburg;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Heppen (Leopoldsburg);3971;Leopoldsburg;Niet-stedelijk;Heppen (Leopoldsburg);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Leuven;3000;Leuven;Centrumstad;Leuven;Flemish Brabant;Belgium;Vlaams-Brabant;Centrumstad;;;;;;;;;;;;;;;;;;;;
Heverlee (Leuven);3001;Leuven;Centrumstad;Heverlee (Leuven);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kessel-Lo (Leuven);3010;Leuven;Centrumstad;Kessel-Lo (Leuven);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wilsele (Leuven);3012;Leuven;Centrumstad;Wilsele (Leuven);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wijgmaal (Leuven);3018;Leuven;Centrumstad;Wijgmaal (Leuven);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lichtervelde;8810;Lichtervelde;Niet-stedelijk;Lichtervelde;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Liedekerke;1770;Liedekerke;Niet-stedelijk;Liedekerke;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Koningshooikt (Lier);2500;Lier;Niet-stedelijk;Koningshooikt (Lier);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lier;2500;Lier;Niet-stedelijk;Lier;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lierde;9570;Lierde;Niet-stedelijk;Lierde;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Gierle (Lille);2275;Lille;Niet-stedelijk;Gierle (Lille);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lille;2275;Lille;Niet-stedelijk;Lille;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Poederlee (Lille);2275;Lille;Niet-stedelijk;Poederlee (Lille);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wechelderzande (Lille);2275;Lille;Niet-stedelijk;Wechelderzande (Lille);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Linkebeek;1630;Linkebeek;Niet-stedelijk;Linkebeek;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lint;2547;Lint;Niet-stedelijk;Lint;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Linter;3350;Linter;Niet-stedelijk;Linter;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Melkwezer (Linter);3350;Linter;Niet-stedelijk;Melkwezer (Linter);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lo (Lo-Reninge);8647;Lo-Reninge;Niet-stedelijk;Lo (Lo-Reninge);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Pollinkhove (Lo-Reninge);8647;Lo-Reninge;Niet-stedelijk;Pollinkhove (Lo-Reninge);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beervelde (Lochristi);9080;Lochristi;Niet-stedelijk;Beervelde (Lochristi);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lochristi;9080;Lochristi;Niet-stedelijk;Lochristi;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zaffelare (Lochristi);9080;Lochristi;Niet-stedelijk;Zaffelare (Lochristi);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zeveneken (Lochristi);9080;Lochristi;Niet-stedelijk;Zeveneken (Lochristi);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Daknam (Lokeren);9160;Lokeren;Niet-stedelijk;Daknam (Lokeren);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Eksaarde (Lokeren);9160;Lokeren;Niet-stedelijk;Eksaarde (Lokeren);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lokeren;9160;Lokeren;Niet-stedelijk;Lokeren;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lommel;3920;Lommel;Niet-stedelijk;Lommel;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Londerzeel;1840;Londerzeel;Niet-stedelijk;Londerzeel;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Malderen (Londerzeel);1840;Londerzeel;Niet-stedelijk;Malderen (Londerzeel);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Steenhuffel (Londerzeel);1840;Londerzeel;Niet-stedelijk;Steenhuffel (Londerzeel);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lovendegem;9920;Lovendegem;Niet-stedelijk;Lovendegem;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vinderhoute (Lovendegem);9921;Lovendegem;Niet-stedelijk;Vinderhoute (Lovendegem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Linden (Lubbeek);3210;Lubbeek;Niet-stedelijk;Linden (Lubbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lubbeek;3210;Lubbeek;Niet-stedelijk;Lubbeek;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Binkom (Lubbeek);3211;Lubbeek;Niet-stedelijk;Binkom (Lubbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Pellenberg (Lubbeek);3212;Lubbeek;Niet-stedelijk;Pellenberg (Lubbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lummen;3560;Lummen;Niet-stedelijk;Lummen;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meldert (Lummen);3560;Lummen;Niet-stedelijk;Meldert (Lummen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Etikhove (Maarkedal);9680;Maarkedal;Niet-stedelijk;Etikhove (Maarkedal);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Maarke-Kerkem (Maarkedal);9680;Maarkedal;Niet-stedelijk;Maarke-Kerkem (Maarkedal);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Maarkedal;9680;Maarkedal;Niet-stedelijk;Maarkedal;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Schorisse (Maarkedal);9688;Maarkedal;Niet-stedelijk;Schorisse (Maarkedal);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Maaseik;3680;Maaseik;Niet-stedelijk;Maaseik;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Opoeteren (Maaseik);3680;Maaseik;Niet-stedelijk;Opoeteren (Maaseik);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Neeroeteren (Maaseik);3680;Maaseik;Niet-stedelijk;Neeroeteren (Maaseik);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Eisden (Maasmechelen);3630;Maasmechelen;Niet-stedelijk;Eisden (Maasmechelen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Leut (Maasmechelen);3630;Maasmechelen;Niet-stedelijk;Leut (Maasmechelen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Maasmechelen;3630;Maasmechelen;Niet-stedelijk;Maasmechelen;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Mechelen-Aan-De-Maas (Maasmechelen);3630;Maasmechelen;Niet-stedelijk;Mechelen-Aan-De-Maas (Maasmechelen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vucht (Maasmechelen);3630;Maasmechelen;Niet-stedelijk;Vucht (Maasmechelen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Boorsem (Maasmechelen);3631;Maasmechelen;Niet-stedelijk;Boorsem (Maasmechelen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Machelen;1830;Machelen;Niet-stedelijk;Machelen;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Diegem (Machelen);1831;Machelen;Niet-stedelijk;Diegem (Machelen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Maldegem;9990;Maldegem;Niet-stedelijk;Maldegem;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Adegem (Maldegem);9991;Maldegem;Niet-stedelijk;Adegem (Maldegem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Middelburg (Maldegem);9992;Maldegem;Niet-stedelijk;Middelburg (Maldegem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Malle;2390;Malle;Niet-stedelijk;Malle;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oostmalle (Malle);2390;Malle;Niet-stedelijk;Oostmalle (Malle);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Westmalle (Malle);2390;Malle;Niet-stedelijk;Westmalle (Malle);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Mechelen;2800;Mechelen;Centrumstad;Mechelen;Antwerp;Belgium;Antwerpen;Centrumstad;;;;;;;;;;;;;;;;;;;;
Heffen (Mechelen);2801;Mechelen;Centrumstad;Heffen (Mechelen);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hombeek (Mechelen);2811;Mechelen;Centrumstad;Hombeek (Mechelen);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Leest (Mechelen);2811;Mechelen;Centrumstad;Leest (Mechelen);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Muizen (Mechelen);2812;Mechelen;Centrumstad;Muizen (Mechelen);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meerhout;2450;Meerhout;Niet-stedelijk;Meerhout;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ellikom (Meeuwen-Gruitrode);3670;Meeuwen-Gruitrode;Niet-stedelijk;Ellikom (Meeuwen-Gruitrode);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Gruitrode (Meeuwen-Gruitrode);3670;Meeuwen-Gruitrode;Niet-stedelijk;Gruitrode (Meeuwen-Gruitrode);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meeuwen (Meeuwen-Gruitrode);3670;Meeuwen-Gruitrode;Niet-stedelijk;Meeuwen (Meeuwen-Gruitrode);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meeuwen-Gruitrode;3670;Meeuwen-Gruitrode;Niet-stedelijk;Meeuwen-Gruitrode;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Neerglabbeek (Meeuwen-Gruitrode);3670;Meeuwen-Gruitrode;Niet-stedelijk;Neerglabbeek (Meeuwen-Gruitrode);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meise;1860;Meise;Niet-stedelijk;Meise;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wolvertem (Meise);1861;Meise;Niet-stedelijk;Wolvertem (Meise);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Gontrode (Melle);9090;Melle;Niet-stedelijk;Gontrode (Melle);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Melle;9090;Melle;Niet-stedelijk;Melle;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Menen;8930;Menen;Niet-stedelijk;Menen;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Rekkem (Menen);8930;Menen;Niet-stedelijk;Rekkem (Menen);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lauwe (Menen);8930;Menen;Niet-stedelijk;Lauwe (Menen);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Merchtem;1785;Merchtem;Niet-stedelijk;Merchtem;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bottelare (Merelbeke);9820;Merelbeke;Niet-stedelijk;Bottelare (Merelbeke);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lemberge (Merelbeke);9820;Merelbeke;Niet-stedelijk;Lemberge (Merelbeke);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Merelbeke;9820;Merelbeke;Niet-stedelijk;Merelbeke;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Munte (Merelbeke);9820;Merelbeke;Niet-stedelijk;Munte (Merelbeke);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Merksplas;2330;Merksplas;Niet-stedelijk;Merksplas;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Mesen;8957;Mesen;Niet-stedelijk;Mesen;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meulebeke;8760;Meulebeke;Niet-stedelijk;Meulebeke;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Middelkerke;8430;Middelkerke;Niet-stedelijk;Middelkerke;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Leffinge (Middelkerke);8432;Middelkerke;Niet-stedelijk;Leffinge (Middelkerke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Schore (Middelkerke);8433;Middelkerke;Niet-stedelijk;Schore (Middelkerke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Slijpe (Middelkerke);8433;Middelkerke;Niet-stedelijk;Slijpe (Middelkerke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Westende (Middelkerke);8434;Middelkerke;Niet-stedelijk;Westende (Middelkerke);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Moerbeke-Waas;9180;Moerbeke;Niet-stedelijk;Moerbeke-Waas;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Mol;2400;Mol;Niet-stedelijk;Mol;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Dadizele (Moorslede);8890;Moorslede;Niet-stedelijk;Dadizele (Moorslede);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Moorslede;8890;Moorslede;Niet-stedelijk;Moorslede;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Mortsel;2640;Mortsel;Niet-stedelijk;Mortsel;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Eke (Nazareth);9810;Nazareth;Niet-stedelijk;Eke (Nazareth);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nazareth;9810;Nazareth;Niet-stedelijk;Nazareth;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Neerpelt;3910;Neerpelt;Niet-stedelijk;Neerpelt;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Huibrechts-Lille (Neerpelt);3910;Neerpelt;Niet-stedelijk;Sint-Huibrechts-Lille (Neerpelt);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hansbeke (Nevele);9850;Nevele;Niet-stedelijk;Hansbeke (Nevele);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Landegem (Nevele);9850;Nevele;Niet-stedelijk;Landegem (Nevele);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Merendree (Nevele);9850;Nevele;Niet-stedelijk;Merendree (Nevele);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nevele;9850;Nevele;Niet-stedelijk;Nevele;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Poesele (Nevele);9850;Nevele;Niet-stedelijk;Poesele (Nevele);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Niel;2845;Niel;Niet-stedelijk;Niel;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nieuwerkerken;3850;Nieuwerkerken;Niet-stedelijk;Nieuwerkerken;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
