Gemeente Origineel;Postcode;Fusiegemeente;Stedelijkheid fusiegemeenten;Gemeente cluster;Province (English);Country (English);Provincie;Stedelijkheid;;;;;;;;;;;;;;;;;;;;
Rosmeer (Bilzen);3740;Bilzen;Niet-stedelijk;Rosmeer (Bilzen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Martenslinde (Bilzen);3742;Bilzen;Niet-stedelijk;Martenslinde (Bilzen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Blankenberge;8370;Blankenberge;Niet-stedelijk;Blankenberge;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Uitkerke (Blankenberge);8370;Blankenberge;Niet-stedelijk;Uitkerke (Blankenberge);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bocholt;3950;Bocholt;Niet-stedelijk;Bocholt;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kaulille (Bocholt);3950;Bocholt;Niet-stedelijk;Kaulille (Bocholt);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Reppel (Bocholt);3950;Bocholt;Niet-stedelijk;Reppel (Bocholt);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Boechout;2530;Boechout;Niet-stedelijk;Boechout;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vremde (Boechout);2531;Boechout;Niet-stedelijk;Vremde (Boechout);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bonheiden;2820;Bonheiden;Niet-stedelijk;Bonheiden;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Rijmenam (Bonheiden);2820;Bonheiden;Niet-stedelijk;Bonheiden;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Boom;2850;Boom;Niet-stedelijk;Boom;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Boortmeerbeek;3190;Boortmeerbeek;Niet-stedelijk;Boortmeerbeek;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Hever (Boortmeerbeek);3191;Boortmeerbeek;Niet-stedelijk;Hever (Boortmeerbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bommershoven (Borgloon);3840;Borgloon;Niet-stedelijk;Bommershoven (Borgloon);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Borgloon;3840;Borgloon;Niet-stedelijk;Borgloon;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
